title,story_points,state,type,priority,board_id,sprint_id,issue_id
de search service zorgen dat ook filters meegegeven kunnen worden aan zoek resultaten,2.0,closed,Taak,Normal,1,1,124001
de search service zorgen dat de response identiek als de huidige opzet zodat er minimale changes door het platform gemaakt hoeft te worden,5.0,closed,Taak,Normal,1,1,123999
de search service zorgen dat event update product word geupdate via app search,2.0,closed,Taak,Normal,1,1,123998
de search service zorgen dat event delete product word verwijderd via app search,2.0,closed,Taak,Normal,1,1,123997
de search service zorgen dat event create product word ingeschoten via app search,2.0,closed,Taak,Normal,1,1,123996
de search service zorgen dat er word gezocht via app search,3.0,closed,Taak,Normal,1,1,123995
uit portal de functionaliteit om boosting weghalen,1.0,closed,Taak,Normal,1,1,123923
als gebruiker wil ik het recept kunnen printen zodat ik weet hoe ik het recept moet bereiden,2.0,closed,Story,Normal,1,1,123076
als developer wil ik de depricated zbmx apis vervangen zodat ze date zijn,5.0,closed,Story,Normal,1,1,122209
als oci gebruiker wil ik zien wat de status van mijn bestelling mijn bestellingeoverzicht zodat ik kan zien waar het oci process mijn order zich bevindt,3.0,closed,Story,Normal,1,1,122200
als medewerker wil ik het receptentype zien het overzicht van de recepten zodat ik kan zien welke recepten er aangemaakt zijn,2.0,closed,Story,Normal,1,1,122186
als oci gebruiker wil ik de mogelijkheid hebben om terug te gaan naar mijn oci omgeving zodat ik weer terug ben waar ik begon,3.0,closed,Story,Normal,1,1,122113
als oci gebruiker wil ik niet via de normale flow kunnen inloggen zoals nietoci gebruikers zodat ik altijd middels mijn link moet inloggen,3.0,closed,Story,Normal,1,1,122108
als oci besteller wil ik geen budgetmeldingen krijgen zodat ik dit niet zie want mijn approver doet dit al,2.0,closed,Story,Normal,1,1,121947
als developer wil ik objecten als xml kunnen renderen zodat ik kan voldoen aan de gestelde eisen voor de webservice,3.0,closed,Story,Normal,1,1,121921
als kassa gebruiker wil ik inloggen zodat ik requests kan maken,3.0,closed,Story,Normal,1,1,121918
als kassa gebruiker wil ik een token kunnen ophalen zodat ik requests kan maken,8.0,closed,Story,Normal,1,1,121917
als kassa gebruiker wil ik hoofd productgroepen kunnen ophalen zodat ik zie welke hoofdgroepen er zijn,5.0,closed,Story,Normal,1,1,121916
als kassa gebruiker wil ik order wijzigen zodat ik orders kan updaten,5.0,closed,Story,Normal,1,1,121912
als kassa gebruiker wil ik order aanmaken zodat ik orders kan plaatsen,8.0,closed,Story,Normal,1,1,121911
als kassa gebruiker wil ik order ophalen zodat ik orders kan inzien,5.0,closed,Story,Normal,1,1,121910
als kassa gebruiker wil ik artikelen kunnen ophalen zodat ik deze kan gebruiken mijn kassa,8.0,closed,Story,Normal,1,1,121909
als kassa gebruiker wil ik productgroepen kunnen ophalen zodat ik kan zien welke productgroepen er zijn,5.0,closed,Story,Normal,1,1,121908
als oci besteller wil ik dat mijn maaltijdbestelling gelocked wordt als ik op bestellen druk zodat ik geen aanpassingen meer kan doen,3.0,closed,Story,Normal,1,1,121819
als oci besteller wil ik niet de optie hebben om herhaalorders te maken zodat ik dat niet doe want dat mag ik niet,1.0,closed,Story,Normal,1,1,121813
als oci besteller wil ik mijn bestellingen overzicht meerdere orders naar mijn inkoopsysteem sturen ter bevestiging zodat ik sneller kan werken,3.0,closed,Story,Normal,1,1,121807
als developer wil ik cxml orders die geparsed zijn worden gestuurd naar zbmx zodat ze daadwerkelijk geleverd kunnen worden,3.0,closed,Story,Normal,1,1,121804
als developer wil ik dat het mogelijk om meerdere orders op een deliveryday te bestellen zodat ik meerdere orders kan doen,8.0,closed,Story,Normal,1,1,121803
als developer wil ik zien een order een oci order zodat ik kan bepalen de order eerst langs oci moet,3.0,closed,Story,Normal,1,1,121802
als developer wil ik een oci permissie hebben voor een besteller zodat ik dit kan gebruiken om functionaliteit aan en uit te zetten,2.0,closed,Story,Normal,1,1,121801
als developer wil ik orders vanuit oci niet doorsturen naar zbmx voordat ze zijn geaccordeerd zodat er geen orders zbmx staan die nog niet geaccordeerd zijn,1.0,closed,Story,Normal,1,1,121800
als developer wil ik een methode hebben om middels een link login te faciliteren zodat gebruikers gemakkelijk kunnen inloggen,3.0,closed,Story,Normal,1,1,121799
als developer wil ik een order serializen naar xml zodat ik een order op kan sturen naar oci,2.0,closed,Story,Normal,1,1,121798
als developer wil ik een cxml order kunnen parsen zodat ik daar een daadwerkelijke order van kan maken,5.0,closed,Story,Normal,1,1,121797
als developer wil ik periodiek de ftp server uitlezen zodat de flow van orders vlot verloopt,3.0,closed,Story,Normal,1,1,121796
als developer wil ik een ftp server hebben waarnaar oci klanten hun order kunnen sturen zodat ik deze kan uitlezen en orders kan maken van de cxml file,1.0,closed,Story,Normal,1,1,121795
als oci besteller wil ik geen gelockde order zien rechtsboven mijn order overzicht zodat ik geen order zie die ik niet kan aanpassen,2.0,closed,Story,Normal,1,1,121794
als oci besteller wil ik nadat ik mijn order heb bevestigd dat deze gelocked wordt zodat ik deze niet meer kan aanpassen,3.0,closed,Story,Normal,1,1,121793
als oci besteller wil ik mijn order naar mijn approver sturen zodat de approver mijn order kan nakijken,3.0,closed,Story,Normal,1,1,121792
als oci besteller wil ik inloggen middels een link zodat ik gemakkelijk boodschappen kan bestellen,2.0,closed,Story,Normal,1,1,121791
als developer wil ik de pakbonnen ophalen vanuit zbmx zodat de pakbonnen beschikbaar zijn ons systeem,5.0,closed,Story,Normal,1,1,121758
als developer wil ik n portalkafkatopic zodat de chronologische volgorde van de data flow gewaarborgd blijft,2.0,closed,Taak,Normal,1,1,121515
als developer wil ik n mijnomgevingkafkatopic zodat de chronologische volgorde van de data flow gewaarborgd blijft,2.0,closed,Taak,Normal,1,1,121514
als besteller wil ik dat de productberekening maaltijdbestel en maaltijdbeheer werkt als de kleinste verpakking meer dan 1 stuk zodat gebrekkige ontbrekende data niet mijn berekening breekt,3.0,closed,Story,Normal,1,1,121423
als team willen een overzicht van de platform kritische functionaliteiten zodat systematisch kunnen valideren dat wat hebben gemaakt naar verwachting werkt,5.0,closed,Story,Normal,1,1,121354
als developer wil ik consistentie de api validatie doorvoeren voor de webshop zodat de onderhoudbaarheid van het project verhogen,3.0,closed,Taak,Normal,1,1,121353
als gebruiker wil ik een melding krijgen zodra ik mijn budget ga bij het plaatsen van een maaltijdbestelling zodat ik rekening kan houden met mijn totale budget,2.0,closed,Story,Normal,1,1,121351
als gebruiker wil ik de inhoud van een verpakking zien het bestellingsoverzicht van mijn maaltijden zodat ik weet welke verpakking ik heb besteld,3.0,closed,Story,Normal,1,1,121321
als medewerker wil ik een foto toevoegen aan een webshop recept zodat de klant weet hoe het gerecht eruit ziet,3.0,closed,Story,Normal,1,1,121219
als zorgboodschap wil ik dat mijn microservices met elkaar kunnen communiceren op basis van security groups plaats van ip whitelisting zodat ik bij schalende servers niet mijn inbound rules hoef te daten,5.0,closed,Story,Normal,1,1,121211
price service improvements betere error handling en consistente responses,5.0,closed,Verbetering,Normal,1,1,121193
als medewerker wil ik de receptenmodule de bereidingstijd type gerecht en maaltijdsoort ontbijtlunchdinerdessert kunnen meegeven bij een recept zodat mensen daarop kunnen filteren bij het zoeken naar recepten,5.0,closed,Story,Normal,1,1,121190
als medewerker wil ik aan een webshop ingredienten en extra ingredienten koppelen zodat mensen ook vanuit de webshop op basis van recepten kunnen bestellen,5.0,closed,Story,Normal,1,1,121189
spike uitzoeken de productvolgorde binnen krijgen zoals hij inriver staat,3.0,closed,Taak,Normal,1,1,121108
als developer wil ik dat budgetten uit mo voor een ontvanger van zb op te halen zijn zodat ik een directe link vanuit de webshop kan plaatsen,3.0,closed,Story,Normal,1,1,121048
als zb wil ik dat er meerdere maaltijdorders geplaatst kunnen worden op een leverdag zodat dit geen problemen oplevert bij het bestellen,5.0,closed,Story,Normal,1,1,120868
verwerken time slot type grocery meals order service,5.0,closed,Taak,Normal,1,1,120786
spike uitzoeken hoe de ontvanger categorie bepaling gaan doen,8.0,closed,Taak,Normal,1,1,120253
maaltijdproducten moeten een product group hebben,1.0,closed,Taak,Normal,1,1,120237
valideer sync properties en gebruik alleen die data voor portal maaltijden mijnomgeving,2.0,closed,Taak,Normal,1,1,120231
