title,story_points
de search service zorgen dat ook filters meegegeven kunnen worden aan zoek resultaten,2.0
de search service zorgen dat de response identiek als de huidige opzet zodat er minimale changes door het platform gemaakt hoeft te worden,5.0
de search service zorgen dat event update product word geupdate via app search,2.0
de search service zorgen dat event delete product word verwijderd via app search,2.0
de search service zorgen dat event create product word ingeschoten via app search,2.0
de search service zorgen dat er word gezocht via app search,3.0
uit portal de functionaliteit om boosting weghalen,1.0
als gebruiker wil ik het recept kunnen printen zodat ik weet hoe ik het recept moet bereiden,2.0
als developer wil ik de depricated zbmx apis vervangen zodat ze date zijn,5.0
als oci gebruiker wil ik zien wat de status van mijn bestelling mijn bestellingeoverzicht zodat ik kan zien waar het oci process mijn order zich bevindt,3.0
als medewerker wil ik het receptentype zien het overzicht van de recepten zodat ik kan zien welke recepten er aangemaakt zijn,2.0
als oci gebruiker wil ik de mogelijkheid hebben om terug te gaan naar mijn oci omgeving zodat ik weer terug ben waar ik begon,3.0
als oci gebruiker wil ik niet via de normale flow kunnen inloggen zoals nietoci gebruikers zodat ik altijd middels mijn link moet inloggen,3.0
als oci besteller wil ik geen budgetmeldingen krijgen zodat ik dit niet zie want mijn approver doet dit al,2.0
als developer wil ik objecten als xml kunnen renderen zodat ik kan voldoen aan de gestelde eisen voor de webservice,3.0
als kassa gebruiker wil ik inloggen zodat ik requests kan maken,3.0
als kassa gebruiker wil ik een token kunnen ophalen zodat ik requests kan maken,8.0
als kassa gebruiker wil ik hoofd productgroepen kunnen ophalen zodat ik zie welke hoofdgroepen er zijn,5.0
als kassa gebruiker wil ik order wijzigen zodat ik orders kan updaten,5.0
als kassa gebruiker wil ik order aanmaken zodat ik orders kan plaatsen,8.0
als kassa gebruiker wil ik order ophalen zodat ik orders kan inzien,5.0
als kassa gebruiker wil ik artikelen kunnen ophalen zodat ik deze kan gebruiken mijn kassa,8.0
als kassa gebruiker wil ik productgroepen kunnen ophalen zodat ik kan zien welke productgroepen er zijn,5.0
als oci besteller wil ik dat mijn maaltijdbestelling gelocked wordt als ik op bestellen druk zodat ik geen aanpassingen meer kan doen,3.0
als oci besteller wil ik niet de optie hebben om herhaalorders te maken zodat ik dat niet doe want dat mag ik niet,1.0
als oci besteller wil ik mijn bestellingen overzicht meerdere orders naar mijn inkoopsysteem sturen ter bevestiging zodat ik sneller kan werken,3.0
als developer wil ik cxml orders die geparsed zijn worden gestuurd naar zbmx zodat ze daadwerkelijk geleverd kunnen worden,3.0
als developer wil ik dat het mogelijk om meerdere orders op een deliveryday te bestellen zodat ik meerdere orders kan doen,8.0
als developer wil ik zien een order een oci order zodat ik kan bepalen de order eerst langs oci moet,3.0
als developer wil ik een oci permissie hebben voor een besteller zodat ik dit kan gebruiken om functionaliteit aan en uit te zetten,2.0
als developer wil ik orders vanuit oci niet doorsturen naar zbmx voordat ze zijn geaccordeerd zodat er geen orders zbmx staan die nog niet geaccordeerd zijn,1.0
als developer wil ik een methode hebben om middels een link login te faciliteren zodat gebruikers gemakkelijk kunnen inloggen,3.0
als developer wil ik een order serializen naar xml zodat ik een order op kan sturen naar oci,2.0
als developer wil ik een cxml order kunnen parsen zodat ik daar een daadwerkelijke order van kan maken,5.0
als developer wil ik periodiek de ftp server uitlezen zodat de flow van orders vlot verloopt,3.0
als developer wil ik een ftp server hebben waarnaar oci klanten hun order kunnen sturen zodat ik deze kan uitlezen en orders kan maken van de cxml file,1.0
als oci besteller wil ik geen gelockde order zien rechtsboven mijn order overzicht zodat ik geen order zie die ik niet kan aanpassen,2.0
als oci besteller wil ik nadat ik mijn order heb bevestigd dat deze gelocked wordt zodat ik deze niet meer kan aanpassen,3.0
als oci besteller wil ik mijn order naar mijn approver sturen zodat de approver mijn order kan nakijken,3.0
als oci besteller wil ik inloggen middels een link zodat ik gemakkelijk boodschappen kan bestellen,2.0
als developer wil ik de pakbonnen ophalen vanuit zbmx zodat de pakbonnen beschikbaar zijn ons systeem,5.0
als developer wil ik n portalkafkatopic zodat de chronologische volgorde van de data flow gewaarborgd blijft,2.0
als developer wil ik n mijnomgevingkafkatopic zodat de chronologische volgorde van de data flow gewaarborgd blijft,2.0
als besteller wil ik dat de productberekening maaltijdbestel en maaltijdbeheer werkt als de kleinste verpakking meer dan 1 stuk zodat gebrekkige ontbrekende data niet mijn berekening breekt,3.0
als team willen een overzicht van de platform kritische functionaliteiten zodat systematisch kunnen valideren dat wat hebben gemaakt naar verwachting werkt,5.0
als developer wil ik consistentie de api validatie doorvoeren voor de webshop zodat de onderhoudbaarheid van het project verhogen,3.0
als gebruiker wil ik een melding krijgen zodra ik mijn budget ga bij het plaatsen van een maaltijdbestelling zodat ik rekening kan houden met mijn totale budget,2.0
als gebruiker wil ik de inhoud van een verpakking zien het bestellingsoverzicht van mijn maaltijden zodat ik weet welke verpakking ik heb besteld,3.0
als medewerker wil ik een foto toevoegen aan een webshop recept zodat de klant weet hoe het gerecht eruit ziet,3.0
als zorgboodschap wil ik dat mijn microservices met elkaar kunnen communiceren op basis van security groups plaats van ip whitelisting zodat ik bij schalende servers niet mijn inbound rules hoef te daten,5.0
price service improvements betere error handling en consistente responses,5.0
als medewerker wil ik de receptenmodule de bereidingstijd type gerecht en maaltijdsoort ontbijtlunchdinerdessert kunnen meegeven bij een recept zodat mensen daarop kunnen filteren bij het zoeken naar recepten,5.0
als medewerker wil ik aan een webshop ingredienten en extra ingredienten koppelen zodat mensen ook vanuit de webshop op basis van recepten kunnen bestellen,5.0
spike uitzoeken de productvolgorde binnen krijgen zoals hij inriver staat,3.0
als developer wil ik dat budgetten uit mo voor een ontvanger van zb op te halen zijn zodat ik een directe link vanuit de webshop kan plaatsen,3.0
als zb wil ik dat er meerdere maaltijdorders geplaatst kunnen worden op een leverdag zodat dit geen problemen oplevert bij het bestellen,5.0
verwerken time slot type grocery meals order service,5.0
spike uitzoeken hoe de ontvanger categorie bepaling gaan doen,8.0
maaltijdproducten moeten een product group hebben,1.0
valideer sync properties en gebruik alleen die data voor portal maaltijden mijnomgeving,2.0
maaltijden users moeten aangemaakt worden keycloak als ze voor het eerst geupsert worden,1.0
als developer wil ik het budgettenoverzicht uit webshop verwijderen zodat niet dubbel de functionaliteit hoeven te ontwikkelen,3.0
als besteller wil ik mijn maaltijdbestellingen kunnen zien zodat ik weet wat er besteld,2.0
kook inputs ed bij maaltijdbestel stap 1 niet tonen indien er geen recept gekoppeld aan een maaltijdcomponent,3.0
als medewerker wil ik een kookrecept kunnen verwijderen zodat dit niet meer besteld kan worden,3.0
als zorgboodschap wil ik dat portal onderscheid tussen orders gemaakt wordt door pakbonnummers niet ordernummers zodat de reset van mijn ordernummers niet voor fouten mijn data zorgt,3.0
als ontwikkelaar wil ik de zbmx prijslijn wijzigingen doorvoeren zodat correcte prijzen kunnen tonen,8.0
als zorgboodschap wil ik dat duidelijk wat de bron van de order zodat ik weet het een webshop maaltijdbestelling,3.0
als zorgboodschap wil ik niet dat mensen producten kunnen bestellen voor ontvangers die niet aan hen gekoppeld zijn zodat mijn orders verantwoord zijn,5.0
als besteller wil ik een geplaatste maaltijdorder kunnen wijzigen vanuit stap 2 zodat ik nog aantallen kan wijzigen,8.0
als besteller wil ik een geplaatste maaltijdorder kunnen wijzigen vanuit stap 1 zodat ik nog andere type maaltijden kan toevoegen,8.0
als besteller wil ik mijn maaltijdenbestelovezicht de totaalprijs zien van mijn geplaatste maaltijdenorder voor een completer beeld,3.0
als medewerker wil ik de productgroep kunnen zien bij de zoekresultaten wanneer ik een menu samenstel zodat ik zeker weet dat ik het juiste menucomponent invoer,2.0
als besteller wil ik het recept van een maaltijdcomponent kunnen bekijken zodat ik meer informatie kan bekijken van de ingredienten,5.0
als besteller wil ik het recept van een maaltijdcomponent kunnen bekijken zodat ik bij behorende extra producten kan bestellen,5.0
als besteller wil ik het recept van een maaltijdcomponent kunnen bekijken zodat ik bij weet hoe ik het bereiden moet,5.0
automatically create relation productitemgastronormsize based pimjsongnbak consuming productitem,3.0
validate gastronorm sizes within cycle gastronorm size instead package type,2.0
als developer wil ik de meals key voor dieetloze maaltijden toevoegen aan de json van stap 1 zodat ik daarover apart de berekening kan uitvoeren voor het resultaat stap 2,5.0
als zorgboodschap wil ik de maaltijdrechten zbxm kunnen aanpassen zodat ik controle heb wat er aan maaltijden besteld kan worden de webshop,5.0
productsync van mijn omgeving bijwerken naar de laatste versie,3.0
productsync van de maaltijdmodule bijwerken naar de laatste versie,3.0
als developer wil ik mijnomgeving op python 36 draaien zodat ik van de order service gebruik kan maken,3.0
als medewerker wil ik webshop recepten kunnen beheren maaltijdbeheer zodat gebruikers van de webshop deze kunnen zien,8.0
als besteller wil ik dat mijn bijgewerkte budgettypes zichtbaar zijn de webshop zodat mijn budgettypes actueel zijn,3.0
als besteller wil ik dat mijn bijgewerkte budgettypes zichtbaar zijn mijn omgeving zodat mijn budgettypes actueel zijn,3.0
als medewerker wil ik budgettypes kunnen beheren voor ontvangers zodat ik het budget naar mijn wensen kan verdelen,8.0
als medewerker wil ik de prijsberekening van een cyclus ook de marge kunnen zien zodat ik weet hoeveel de cyclus ons gemiddeld opbrengt,5.0
als zb wil ik dat replacement productitems ook worden doorgezet maaltijdbeheer zodat de dataintegriteit bewaard blijft,5.0
als gebruiker wil ik geplaatste maaltijden bestellingen zien een kalender view zodat ik voor deze dagen geen bestelling hoef te plaatsen,8.0
als besteller wil ik de status zien van mijn maaltijdbestelling zodat ik weet hoe ver de bestelling het proces zit,3.0
als besteller wil ik extra producten kunnen toevoegen aan mijn maaltijdenbestelling zodat ik ook dingen kan bestellen die niet maaltijd gerelateerd zijn,8.0
als besteller wil ik mijn maaltijdbestelling plaatsen zodat deze verwerkt kan worden,5.0
als developer wil ik de bijzonder leverdagen feestdagen ophalen uit zmbx zodat ik deze kan gebruiken voor de weergave van bestelconsumptiedagen,5.0
als gebruiker wil ik een overzicht van de leverdagen tbv maaltijdenbestel zodat ik weet ik nog kan bestellen,8.0
als medewerker wil ik dat een cyclus niet zonder bewuste melding aangepast kan worden als er een bestelling voor geplaatst zodat er geen fouten gemaakt kunnen worden klantenorders,5.0
als medewerker wil ik alleen ontvangers binnen maaltijdbeheer hebben die daar toegang toe hebben zodat ik geen overbodige data heb,2.0
als medewerker wil gemakkelijk meerdere eetgemak skus kunnen importeren zodat ik dit niet per product hoef te doen,5.0
als ontvanger wil ik graag het menu uitprinten zodat ik deze kan achterlaten bij clienten,5.0
als besteller wil ik bij het maaltijdenoverzicht een empty state zien als een ontvanger geen cyclus heeft zodat ik weet dat het administratief ergens niet klopt,2.0
als medewerker wil ik bij een ontvanger aan kunnen geven welke diten deze kan bestellen zodat er geen overbodige informatie naar voren komt de front end,8.0
productgroepcodes zoals vastgesteld zijn de pim de maaltijdbeheer database invoeren,1.0
als medewerker wil ik een productrecept kunnen koppelen aan een product zodat bestellers die de kookmodule aan hebben staan kunnen bestellen,3.0
als medewerker wil ik dat klanten alleen toegang krijgen tot de modules die opgenomen zijn het contract zodat klanten niet ongewenst gebruik maken van de diensten van zorgboodschap,8.0
als gebruiker wil ik bij een wichtartikel de juiste prijs berekend zien op basis van de kiloprijs zodat ik weet welke prijs ik moet betalen,5.0
als zorgboodschap wil ik een melding krijgen wanneer een oci xml order incorrecte gegevens bevat zodat ik hier vervolgacties kan bepalen,3.0
als zorgboodschap wil ik dat order regels na een prijswijziging doorgestuurd worden naar zbmx zodat de juiste prijs gefactuurd wordt,1.0
als developer wil ik de slk orderlines versturen naar zbmx zodat de kosten worden meegenomen de totaalprijs,8.0
als developer wil ik verzoeken tot het verwijderen van orders door geven aan zbmx zodat een verwijderde order niet meer verwerkt wordt,3.0
als gebruiker wil ik consumentprijzen kunnen zien zodat ik deze kan hanteren bij het doorverkopen van producten,8.0
als gebruiker wil ik orders die ik buiten het platform via zbmx om heb besteld ook meegenomen hebben mijn orderoverzicht budget,5.0
als zorgboodschap wil ik kunnen stellen als een product beperkt op voorraad zodat er geen mancos ontstaan door teveel bestellingen,3.0
als gebruiker wil ik zien binnen welke categorieen ik mij bevind zodat ik gemakkelijk kan navigeren,3.0
als gebruiker wil ik dat er bij vast portiegewicht productitem de kiloprijs wordt getoond de webshop zodat ik weet wat ik per kilo betaal,2.0
als zorgboodschap wil ik voorkomen dat een besteller te weinig bestelt van een artikel met een minimale afname zodat wij geen problemen krijgen met de leverancier,5.0
als zorgboodschap willen wij kunnen managen welke producten hoger komen de search adhv productnaam zodat wij de search kunnen beinvloeden,8.0
productcategorie afbeeldingen en teksten zijn te klein en daardoor onduidelijk,1.0
ketentest actiepunt pim verpakking verwerken en huidige verpakking vervangen door deze data,3.0
als zorgboodschap wil ik de producten binnen campagnes kunnen sorteren zodat ik prioriteit kan geven aan deze campagnes,8.0
indicatie dat bestelartikel te bestellen op andere dag,5.0
als medewerker wil ik een filter hebben mijn organisatiebeheer zodat ik makkelijker kan zoeken en navigeren,5.0
bij een bestelling die behandeling mist de onboarding tool,1.0
als medewerker wil ik alle bewerkopties binnen cyclibeheer centraal hebben zodat ik makkelijk kan navigeren mijn opties,3.0
de categorie filter de zoekfunctie bevat nu ook subcategorien dit wordt te uitgebreid,1.0
